Symbol,Close,Volume,Date,Day,Close_pct_change,Growth,Cumulative_Return
ABBEYBDS,4.73,226748.0,2025-04-02,1,,1.0,0.0
ABBEYBDS,4.73,93.0,2025-04-03,2,0.0,1.0,0.0
ABBEYBDS,4.73,66000.0,2025-04-04,3,0.0,1.0,0.0
ABBEYBDS,6.74,216704.0,2025-04-14,4,42.49471458773784,1.4249471458773784,42.49471458773784
ABBEYBDS,7.41,141848.0,2025-04-15,5,9.940652818991103,1.099406528189911,56.65961945031712
ABBEYBDS,8.15,503288.0,2025-04-16,6,9.986504723346833,1.0998650472334683,72.3044397463002
ABBEYBDS,8.96,989001.0,2025-04-17,7,9.938650306748475,1.0993865030674848,89.42917547568712
ABBEYBDS,9.76,3932594.0,2025-04-22,8,8.92857142857142,1.0892857142857142,106.34249471458772
ABBEYBDS,8.79,1760532.0,2025-04-23,9,-9.938524590163944,0.9006147540983606,85.8350951374207
ABBEYBDS,8.79,246845.0,2025-04-24,10,0.0,1.0,85.8350951374207
ABBEYBDS,8.79,105692.0,2025-04-25,11,0.0,1.0,85.8350951374207
ABBEYBDS,8.3,1391288.0,2025-04-28,12,-5.574516496018189,0.9442548350398181,75.47568710359407
ABBEYBDS,8.3,155889.0,2025-04-29,13,0.0,1.0,75.47568710359407
ABBEYBDS,8.3,152670.0,2025-04-30,14,0.0,1.0,75.47568710359407
ABBEYBDS,8.3,535071.0,2025-05-02,15,0.0,1.0,75.47568710359407
ABBEYBDS,8.3,52138.0,2025-05-05,16,0.0,1.0,75.47568710359407
ABBEYBDS,8.3,42041.0,2025-05-07,17,0.0,1.0,75.47568710359407
ABBEYBDS,7.47,159164.0,2025-05-08,18,-10.000000000000009,0.8999999999999999,57.92811839323464
ABBEYBDS,7.0,134030.0,2025-05-09,19,-6.291834002677376,0.9370816599732262,47.99154334038052
ABBEYBDS,7.69,1827847.0,2025-05-12,20,9.857142857142854,1.0985714285714285,62.5792811839323
ABBEYBDS,7.63,223784.0,2025-05-13,21,-0.7802340702210753,0.9921976592977892,61.310782241014735
ABBEYBDS,7.63,33676.0,2025-05-14,22,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,33613.0,2025-05-15,23,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,40500.0,2025-05-16,24,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,403488.0,2025-05-19,25,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,75917.0,2025-05-20,26,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,13056.0,2025-05-21,27,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,106033.0,2025-05-22,28,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,50092.0,2025-05-23,29,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,25874.0,2025-05-26,30,0.0,1.0,61.310782241014735
ABBEYBDS,7.63,8440.0,2025-05-27,31,0.0,1.0,61.310782241014735
ABCTRANS,1.4,867077.0,2025-04-02,1,,1.0,0.0
ABCTRANS,1.4,54452.0,2025-04-03,2,0.0,1.0,0.0
ABCTRANS,1.4,128830.0,2025-04-04,3,0.0,1.0,0.0
ABCTRANS,1.3,1724570.0,2025-04-14,4,-7.142857142857128,0.9285714285714287,-7.142857142857128
ABCTRANS,1.3,692485.0,2025-04-15,5,0.0,1.0,-7.142857142857128
ABCTRANS,1.3,250449.0,2025-04-16,6,0.0,1.0,-7.142857142857128
ABCTRANS,1.42,305659.0,2025-04-17,7,9.23076923076922,1.0923076923076922,1.4285714285714235
ABCTRANS,1.42,260031.0,2025-04-22,8,0.0,1.0,1.4285714285714235
ABCTRANS,1.56,513159.0,2025-04-23,9,9.859154929577475,1.0985915492957747,11.428571428571432
ABCTRANS,1.56,181143.0,2025-04-24,10,0.0,1.0,11.428571428571432
ABCTRANS,1.56,265337.0,2025-04-25,11,0.0,1.0,11.428571428571432
ABCTRANS,1.71,317350.0,2025-04-28,12,9.615384615384603,1.096153846153846,22.14285714285713
ABCTRANS,1.88,939625.0,2025-04-29,13,9.941520467836252,1.0994152046783625,34.28571428571428
ABCTRANS,2.06,2190176.0,2025-04-30,14,9.574468085106403,1.095744680851064,47.14285714285715
ABCTRANS,2.26,1597740.0,2025-05-02,15,9.708737864077666,1.0970873786407767,61.42857142857143
ABCTRANS,2.37,1134346.0,2025-05-05,16,4.86725663716816,1.0486725663716816,69.28571428571433
ABCTRANS,2.4,1707375.0,2025-05-07,17,1.2658227848101111,1.0126582278481011,71.42857142857144
ABCTRANS,2.6,723007.0,2025-05-08,18,8.333333333333348,1.0833333333333335,85.71428571428574
ABCTRANS,2.86,4329924.0,2025-05-09,19,9.999999999999986,1.0999999999999999,104.28571428571428
ABCTRANS,3.1,1365374.0,2025-05-12,20,8.391608391608397,1.083916083916084,121.42857142857144
ABCTRANS,2.91,1780470.0,2025-05-13,21,-6.129032258064515,0.9387096774193548,107.85714285714288
ABCTRANS,2.91,761392.0,2025-05-14,22,0.0,1.0,107.85714285714288
ABCTRANS,2.95,588589.0,2025-05-15,23,1.3745704467353903,1.013745704467354,110.71428571428572
ABCTRANS,2.95,102658.0,2025-05-16,24,0.0,1.0,110.71428571428572
ABCTRANS,2.66,1199516.0,2025-05-19,25,-9.830508474576272,0.9016949152542373,90.00000000000001
ABCTRANS,2.4,2029349.0,2025-05-20,26,-9.774436090225569,0.9022556390977443,71.42857142857144
ABCTRANS,2.27,912166.0,2025-05-21,27,-5.416666666666659,0.9458333333333334,62.14285714285717
ABCTRANS,2.27,919648.0,2025-05-22,28,0.0,1.0,62.14285714285717
ABCTRANS,2.49,2278216.0,2025-05-23,29,9.691629955947146,1.0969162995594715,77.85714285714289
ABCTRANS,2.7,2239298.0,2025-05-26,30,8.43373493975903,1.0843373493975903,92.85714285714289
ABCTRANS,2.7,416538.0,2025-05-27,31,0.0,1.0,92.85714285714289
ACADEMY,2.65,2110466.0,2025-04-02,1,,1.0,0.0
ACADEMY,2.65,18131.0,2025-04-03,2,0.0,1.0,0.0
ACADEMY,2.65,25686.0,2025-04-04,3,0.0,1.0,0.0
ACADEMY,2.61,36199.0,2025-04-14,4,-1.5094339622641506,0.9849056603773585,-1.5094339622641506
ACADEMY,2.61,3307.0,2025-04-15,5,0.0,1.0,-1.5094339622641506
ACADEMY,2.61,23104.0,2025-04-16,6,0.0,1.0,-1.5094339622641506
ACADEMY,2.61,1560.0,2025-04-17,7,0.0,1.0,-1.5094339622641506
ACADEMY,2.61,4032.0,2025-04-22,8,0.0,1.0,-1.5094339622641506
ACADEMY,2.61,9554.0,2025-04-23,9,0.0,1.0,-1.5094339622641506
ACADEMY,2.87,1067150.0,2025-04-24,10,9.961685823754806,1.099616858237548,8.301886792452851
ACADEMY,2.87,159632.0,2025-04-25,11,0.0,1.0,8.301886792452851
ACADEMY,2.87,20190.0,2025-04-28,12,0.0,1.0,8.301886792452851
ACADEMY,2.87,342880.0,2025-04-29,13,0.0,1.0,8.301886792452851
ACADEMY,2.87,115723.0,2025-04-30,14,0.0,1.0,8.301886792452851
ACADEMY,2.87,258031.0,2025-05-02,15,0.0,1.0,8.301886792452851
ACADEMY,2.97,519415.0,2025-05-05,16,3.4843205574912828,1.0348432055749128,12.075471698113226
ACADEMY,3.58,873158.0,2025-05-07,17,20.538720538720522,1.2053872053872052,35.09433962264153
ACADEMY,3.93,1937116.0,2025-05-08,18,9.77653631284916,1.0977653631284916,48.30188679245284
ACADEMY,4.32,4168358.0,2025-05-09,19,9.92366412213741,1.099236641221374,63.01886792452833
ACADEMY,4.64,1331365.0,2025-05-12,20,7.407407407407396,1.074074074074074,75.09433962264151
ACADEMY,4.3,957211.0,2025-05-13,21,-7.3275862068965525,0.9267241379310345,62.26415094339623
ACADEMY,4.3,227148.0,2025-05-14,22,0.0,1.0,62.26415094339623
ACADEMY,4.3,73181.0,2025-05-15,23,0.0,1.0,62.26415094339623
ACADEMY,4.42,584771.0,2025-05-16,24,2.7906976744185963,1.027906976744186,66.79245283018867
ACADEMY,4.4,303284.0,2025-05-19,25,-0.4524886877827927,0.9954751131221721,66.03773584905662
ACADEMY,4.4,143558.0,2025-05-20,26,0.0,1.0,66.03773584905662
ACADEMY,4.4,64625.0,2025-05-21,27,0.0,1.0,66.03773584905662
ACADEMY,4.4,130612.0,2025-05-22,28,0.0,1.0,66.03773584905662
ACADEMY,4.4,106580.0,2025-05-23,29,0.0,1.0,66.03773584905662
ACADEMY,4.4,213691.0,2025-05-26,30,0.0,1.0,66.03773584905662
ACADEMY,4.5,267221.0,2025-05-27,31,2.2727272727272707,1.0227272727272727,69.81132075471699
ACCESSCORP,22.65,15043234.0,2025-04-02,1,,1.0,0.0
